food_id,spot_id,place_id,place_name,spot_name,food_place_name,price_per_person,budget_range
54,26,8,Ganpatipule,Ganpatipule Temple,Temple View Restaurant,400,mid
55,27,8,Ganpatipule,Ganpatipule Beach,Ganpatipule Beach Shack,300,mid
56,27,8,Ganpatipule,Ganpatipule Beach,Sea Pearl Restaurant,700,high
57,28,8,Ganpatipule,Jaigad Fort,Jaigad Fort Tea Point,90,low
58,28,8,Ganpatipule,Jaigad Fort,Creek View Cafe,350,mid
59,29,9,Ratnagiri,Bhatye Beach,Bhatye Beach Snacks,200,low
60,29,9,Ratnagiri,Bhatye Beach,Coastal Curry House,500,mid
61,30,9,Ratnagiri,Thibaw Palace,Thibaw Palace Cafe,300,mid
62,30,9,Ratnagiri,Thibaw Palace,Heritage Dining Hall,650,high
63,31,9,Ratnagiri,Pawas Village,Pawas Ashram Bhojanalay,200,low
64,31,9,Ratnagiri,Pawas Village,Spiritual Cafe,350,mid
65,32,10,Sindhudurg,Sindhudurg Fort,Sindhudurg Fort Snacks,150,low
66,32,10,Sindhudurg,Sindhudurg Fort,Sea Fort Restaurant,600,high
67,33,10,Sindhudurg,Malvan Beach,Malvan Beach Fish Fry,250,low
68,33,10,Sindhudurg,Malvan Beach,Malvani Thali House,450,mid
69,34,10,Sindhudurg,Tsunami Island,Tsunami Island Snack Boat,300,mid
70,34,10,Sindhudurg,Tsunami Island,Island Dining Deck,750,high
71,35,11,Panchgani,Table Land,Table Land Tea Stall,80,low
72,35,11,Panchgani,Table Land,Plateau View Restaurant,400,mid
73,36,11,Panchgani,Sydney Point,Sydney Point Chai Tapri,90,low
74,36,11,Panchgani,Sydney Point,Valley Edge Cafe,350,mid
75,37,11,Panchgani,Parsi Point,Parsi Point Snacks,120,low
76,37,11,Panchgani,Parsi Point,Sunset Plate Restaurant,500,mid
77,38,12,Igatpuri,Vipassana Center,Vipassana Simple Meals,200,low
78,38,12,Igatpuri,Vipassana Center,Meditation Cafe,350,mid
79,39,12,Igatpuri,Ashoka Waterfall,Ashoka Falls Snack Stall,150,low
80,39,12,Igatpuri,Ashoka Waterfall,Waterfall View Cafe,450,mid
81,40,12,Igatpuri,Tringalwadi Fort,Tringalwadi Base Mess,200,low
82,40,12,Igatpuri,Tringalwadi Fort,Trekker's Food Point,350,mid
83,41,13,Bhandardara,Arthur Lake,Arthur Lake Snack Point,120,low
84,41,13,Bhandardara,Arthur Lake,Lakeside Dining,450,mid
85,42,13,Bhandardara,Randha Falls,Randha Falls Corn Stall,100,low
86,42,13,Bhandardara,Randha Falls,Falls View Restaurant,500,mid
87,43,13,Bhandardara,Wilson Dam,Wilson Dam Tea Point,80,low
88,43,13,Bhandardara,Wilson Dam,Reservoir Cafe,350,mid
89,44,14,Ajanta,Ajanta Cave 1,Ajanta Cave Snacks,150,low
90,44,14,Ajanta,Ajanta Cave 1,Cave View Restaurant,500,mid
91,45,14,Ajanta,Ajanta Cave 2,Ajanta Local Bhojanalay,200,low
92,45,14,Ajanta,Ajanta Cave 2,Heritage Thali House,400,mid
93,46,14,Ajanta,Ajanta Viewpoint,Ajanta View Tea Stall,100,low
94,46,14,Ajanta,Ajanta Viewpoint,Panorama Cafe,350,mid
95,47,15,Ellora,Kailasa Temple,Kailasa Temple Prasad Hall,200,low
96,47,15,Ellora,Kailasa Temple,Ellora Heritage Restaurant,600,high
97,48,15,Ellora,Ellora Cave 10,Ellora Cave Snack Stall,150,low
98,48,15,Ellora,Ellora Cave 10,Buddhist Cafe,350,mid
99,49,15,Ellora,Ellora Cave 16,Ellora Tourist Canteen,250,low
100,49,15,Ellora,Ellora Cave 16,Rock Cut Dining Hall,550,mid
101,50,16,Aurangabad,Bibi Ka Maqbara,Bhimashankar Temple Bhojanalay,180,low
102,50,16,Aurangabad,Bibi Ka Maqbara,Forest View Cafe,400,mid
103,51,16,Aurangabad,Aurangabad Caves,Kaas Plateau Tea Stall,100,low
104,51,16,Aurangabad,Aurangabad Caves,Flower Valley Cafe,350,mid
105,52,16,Aurangabad,Daulatabad Fort,Dabhosa Falls Snack Point,150,low
106,52,16,Aurangabad,Daulatabad Fort,Waterfall View Restaurant,500,mid
107,53,17,Nashik,Trimbakeshwar Temple,Wilson Hills Tea Point,90,low
108,53,17,Nashik,Trimbakeshwar Temple,Valley Breeze Cafe,350,mid
109,54,17,Nashik,Sula Vineyards,Toranmal Local Mess,200,low
110,54,17,Nashik,Sula Vineyards,Hilltop Family Restaurant,450,mid
111,55,17,Nashik,Pandavleni Caves,Harishchandragad Base Bhojanalay,180,low
112,55,17,Nashik,Pandavleni Caves,Konkan Kada Cafe,400,mid
113,56,18,Shirdi,Sai Baba Temple,Lohagad Trekker Snacks,120,low
114,56,18,Shirdi,Sai Baba Temple,Fort View Restaurant,450,mid
115,57,18,Shirdi,Dwarkamai,Visapur Plateau Food Stall,150,low
116,57,18,Shirdi,Dwarkamai,Monsoon Cafe,380,mid
117,58,18,Shirdi,Chavadi,Sinhagad Kanda Bhaji Stall,120,low
118,58,18,Shirdi,Chavadi,Fort Top Zunka Bhakar,180,low
119,59,19,Kolhapur,Mahalaxmi Temple,Rajmachi Village Mess,200,low
120,59,19,Kolhapur,Mahalaxmi Temple,Firefly Cafe,400,mid
121,60,19,Kolhapur,Rankala Lake,Devkund Base Snacks,150,low
122,60,19,Kolhapur,Rankala Lake,Jungle Trail Cafe,350,mid
123,61,19,Kolhapur,Panhala Fort,Tamhini Ghat Chai Stall,100,low
124,61,19,Kolhapur,Panhala Fort,Misty Mountain Cafe,380,mid
125,62,20,Satara,Kaas Plateau,Malshej Ghat Corn Point,120,low
126,62,20,Satara,Kaas Plateau,Flamingo View Restaurant,450,mid
127,63,20,Satara,Thoseghar Falls,Rajapur Local Seafood Shack,300,mid
128,63,20,Satara,Thoseghar Falls,Mango Orchard Cafe,500,mid
129,64,20,Satara,Sajjangad Fort,Velas Village Bhojanalay,180,low
130,64,20,Satara,Sajjangad Fort,Turtle Festival Cafe,350,mid
131,65,21,Raigad,Raigad Fort,Kashid Beach Shack,300,mid
132,65,21,Raigad,Raigad Fort,White Sand Restaurant,650,high
133,66,21,Raigad,Hirkani Buruj,Nagaon Beach Chaat Stall,150,low
134,66,21,Raigad,Hirkani Buruj,Jet Ski Cafe,450,mid
135,67,21,Raigad,Gangasagar Lake,Aarey Milk Parlour,120,low
136,67,21,Raigad,Gangasagar Lake,Forest Cafe Aarey,400,mid
137,68,22,Pratapgad,Pratapgad Fort,Elephanta Jetty Snacks,200,low
138,68,22,Pratapgad,Pratapgad Fort,Island Heritage Cafe,450,mid
139,69,22,Pratapgad,Bhavai Devi Temple,Kanheri Cave Canteen,250,low
140,69,22,Pratapgad,Bhavai Devi Temple,Monk Trail Cafe,400,mid
141,70,22,Pratapgad,Sunset Point,SGNP Safari Canteen,300,mid
142,70,22,Pratapgad,Sunset Point,Forest Edge Restaurant,550,mid
143,71,23,Chiplun,Vashishti River,Girgaon Chowpatty Bhel,100,low
144,71,23,Chiplun,Vashishti River,Sea View Snack Center,250,low
145,72,23,Chiplun,Guhagar Beach,Junnar Local Bhojanalay,200,low
146,72,23,Chiplun,Guhagar Beach,Heritage Fort Cafe,400,mid
147,73,23,Chiplun,Koyna Backwaters,Bhimashankar Forest Snacks,150,low
148,73,23,Chiplun,Koyna Backwaters,Nature View Cafe,350,mid
149,74,24,Dapoli,Dapoli Beach,Rajgad Base Village Mess,200,low
150,74,24,Dapoli,Dapoli Beach,Fort Plateau Cafe,450,mid
151,75,24,Dapoli,Ladghar Beach,Panhala Fort Bhojanalay,180,low
152,75,24,Dapoli,Ladghar Beach,Heritage View Restaurant,400,mid
153,76,24,Dapoli,Suvarnadurg Fort,Vengurla Beach Food Shack,300,mid
154,76,24,Dapoli,Suvarnadurg Fort,Sunset Coast Cafe,550,mid
155,77,25,Harihareshwar,Harihareshwar Temple,Malvan Fish Thali Stall,250,low
156,77,25,Harihareshwar,Harihareshwar Temple,Malvani Spice Restaurant,500,mid
157,78,25,Harihareshwar,Harihareshwar Beach,Sawantwadi Palace Cafe,350,mid
158,78,25,Harihareshwar,Harihareshwar Beach,Lake View Restaurant,600,high
251,78,25,Harihareshwar,Harihareshwar Beach,Shivneri Misal House,120,Low
252,78,25,Harihareshwar,Harihareshwar Beach,Fort View Bhojanalay,180,Low
159,79,25,Harihareshwar,Kalbhairav Temple,Chikhaldara Hill Snacks,120,low
160,79,25,Harihareshwar,Kalbhairav Temple,Misty Forest Cafe,400,mid
253,79,25,Harihareshwar,Kalbhairav Temple,Rajgad Desi Dhaba,250,Mid
254,79,25,Harihareshwar,Kalbhairav Temple,Puneri Misal Junction,150,Low
161,80,26,Guhagar,Guhagar Beach,Paithan Local Bhojanalay,200,low
162,80,26,Guhagar,Guhagar Beach,Weaver’s Cafe,350,mid
255,80,26,Guhagar,Guhagar Beach,Heritage Café Bhor,220,Mid
256,80,26,Guhagar,Guhagar Beach,Local Tandoor Point,280,Mid
163,81,26,Guhagar,Velneshwar Temple,Aurangabad Cave Canteen,250,low
164,81,26,Guhagar,Velneshwar Temple,Heritage Rock Cafe,450,mid
257,81,26,Guhagar,Velneshwar Temple,Sahyadri Tea Stall,60,Low
258,81,26,Guhagar,Velneshwar Temple,Mountain Spice Kitchen,300,Mid
165,82,26,Guhagar,Anjarle Beach,Pench Safari Breakfast Point,300,mid
166,82,26,Guhagar,Anjarle Beach,Jungle Lodge Restaurant,650,high
259,82,26,Guhagar,Anjarle Beach,Forest View Café,350,Mid
260,82,26,Guhagar,Anjarle Beach,Village Rasoi,200,Low
167,83,27,Amboli,Amboli Falls,Umred Safari Tea Stall,120,low
168,83,27,Amboli,Amboli Falls,Tiger Trail Cafe,400,mid
261,83,27,Amboli,Amboli Falls,Sunset Point Snacks,100,Low
262,83,27,Amboli,Amboli Falls,Hilltop Family Restaurant,320,Mid
169,84,27,Amboli,Kawalesaad Point,Devgad Beach Snacks,200,low
170,84,27,Amboli,Kawalesaad Point,Coastal Breeze Restaurant,550,mid
263,84,27,Amboli,Kawalesaad Point,Riverbank Thali House,240,Mid
264,84,27,Amboli,Kawalesaad Point,Deshmukh Bhojanalay,180,Low
171,85,27,Amboli,Sunset Point,Shivneri Fort Base Mess,180,low
172,85,27,Amboli,Sunset Point,Birthplace View Cafe,350,mid
265,85,27,Amboli,Sunset Point,Konkan Curry Express,280,Mid
266,85,27,Amboli,Sunset Point,Sea Breeze Café,450,High
173,86,28,Lavasa,Dasve Viewpoint,Bhandara Lake Snack Point,150,low
174,86,28,Lavasa,Dasve Viewpoint,City Lake Restaurant,400,mid
267,86,28,Lavasa,Dasve Viewpoint,Local Fish Fry Center,350,Mid
268,86,28,Lavasa,Dasve Viewpoint,Malvani Tadka House,300,Mid
175,87,28,Lavasa,Temghar Dam,Gondia Market Street Food,120,low
176,87,28,Lavasa,Temghar Dam,Forest Edge Cafe,350,mid
269,87,28,Lavasa,Temghar Dam,Coastal Treat Restaurant,500,High
270,87,28,Lavasa,Temghar Dam,Beachside Chaat Stall,120,Low
177,88,28,Lavasa,Warasgaon Lake,Chandoli Forest Canteen,250,low
178,88,28,Lavasa,Warasgaon Lake,Wildlife View Restaurant,500,mid
271,88,28,Lavasa,Warasgaon Lake,Temple Prasad Bhojanalay,90,Low
272,88,28,Lavasa,Warasgaon Lake,Ganesh Snacks Corner,110,Low
179,89,29,Pune,Shaniwar Wada,Koyna Dam Snack Stall,150,low
180,89,29,Pune,Shaniwar Wada,Reservoir View Cafe,400,mid
273,89,29,Pune,Shaniwar Wada,Valley View Restaurant,400,High
274,89,29,Pune,Shaniwar Wada,Hill Food Court,220,Mid
181,90,29,Pune,Aga Khan Palace,Kolad Rafting Camp Meals,350,mid
182,90,29,Pune,Aga Khan Palace,Riverside Grill Kolad,650,high
275,90,29,Pune,Aga Khan Palace,Lakeview Café,380,High
276,90,29,Pune,Aga Khan Palace,Rural Kitchen Spot,200,Low
183,91,29,Pune,Sinhagad Fort,Local Village Tea Stall,80,low
184,91,29,Pune,Sinhagad Fort,Mountain View Cafe,300,mid
277,91,29,Pune,Sinhagad Fort,Forest Side Tea Point,50,Low
278,91,29,Pune,Sinhagad Fort,Traveller’s Food Hub,260,Mid
185,92,30,Mumbai,Gateway of India,Highway Food Plaza,250,low
186,92,30,Mumbai,Gateway of India,Traveler’s Stop Restaurant,450,mid
279,92,30,Mumbai,Gateway of India,Highway Star Dhaba,300,Mid
280,92,30,Mumbai,Gateway of India,Express Biryani Center,240,Mid
187,93,30,Mumbai,Marine Drive,Lakeside Corn Point,120,low
188,93,30,Mumbai,Marine Drive,Sunset Lake Cafe,380,mid
281,93,30,Mumbai,Marine Drive,Old Fort Canteen,160,Low
282,93,30,Mumbai,Marine Drive,Local Maharashtrian Mess,180,Low
189,94,30,Mumbai,Elephanta Caves,Forest Entry Snacks,150,low
190,94,30,Mumbai,Elephanta Caves,Nature Trail Cafe,350,mid
283,94,30,Mumbai,Elephanta Caves,Sunrise Breakfast Point,120,Low
284,94,30,Mumbai,Elephanta Caves,Green Valley Restaurant,350,Mid
191,95,30,Mumbai,Juhu Beach,Temple Prasad Bhojanalay,200,low
192,95,30,Mumbai,Juhu Beach,Pilgrim Rest Cafe,350,mid
285,95,30,Mumbai,Juhu Beach,Temple Street Snacks,100,Low
286,95,30,Mumbai,Juhu Beach,Sattvik Bhojanalay,200,Low
193,96,31,Nagpur,Deekshabhoomi,Local Breakfast Center,120,low
194,96,31,Nagpur,Deekshabhoomi,City Cafe Express,300,mid
287,96,31,Nagpur,Deekshabhoomi,Backwater Café,420,High
288,96,31,Nagpur,Deekshabhoomi,Konkan Spice Route,380,High
195,97,31,Nagpur,Ambazari Lake,Market Street Snacks,100,low
196,97,31,Nagpur,Ambazari Lake,Urban Bites Cafe,350,mid
289,97,31,Nagpur,Ambazari Lake,Riverside Misal Spot,140,Low
290,97,31,Nagpur,Ambazari Lake,Family Garden Restaurant,320,Mid
197,98,31,Nagpur,Sitabuldi Fort,Bus Stand Tea Stall,80,low
198,98,31,Nagpur,Sitabuldi Fort,Highway Diner,400,mid
291,98,31,Nagpur,Sitabuldi Fort,Hill Queen Food Court,260,Mid
292,98,31,Nagpur,Sitabuldi Fort,Cloud View Café,450,High
199,99,32,Amravati,Chikhaldara Hill View,Old Town Bhojanalay,200,low
200,99,32,Amravati,Chikhaldara Hill View,Heritage Street Cafe,350,mid
293,99,32,Amravati,Chikhaldara Hill View,Local Snacks & Chai,80,Low
294,99,32,Amravati,Chikhaldara Hill View,Traveller’s Restro,300,Mid
201,100,32,Amravati,Gavilgad Fort,Waterfront Snack Shack,250,low
202,100,32,Amravati,Gavilgad Fort,Sunset Deck Restaurant,600,high
295,100,32,Amravati,Gavilgad Fort,Fort Base Tea Stall,60,Low
296,100,32,Amravati,Gavilgad Fort,Warrior’s Thali House,220,Mid
203,101,32,Amravati,Melghat Viewpoint,Forest Chai Point,90,low
204,101,32,Amravati,Melghat Viewpoint,Wildlife Cafe,350,mid
297,101,32,Amravati,Melghat Viewpoint,Sunset View Restaurant,400,High
298,101,32,Amravati,Melghat Viewpoint,Evening Chaat Plaza,130,Low
205,102,32,Amravati,Semadoh Lake,Lake Side Snacks,150,low
206,102,32,Amravati,Semadoh Lake,Nature Retreat Cafe,400,mid
299,102,32,Amravati,Semadoh Lake,Lakeside Veg Delight,280,Mid
300,102,32,Amravati,Semadoh Lake,Quick Bite Corner,120,Low
207,103,33,Chandrapur,Tadoba Lake,Safari Gate Tea Stall,100,low
208,103,33,Chandrapur,Tadoba Lake,Jungle View Restaurant,550,mid
301,103,33,Chandrapur,Tadoba Lake,Heritage Dining Hall,350,High
302,103,33,Chandrapur,Tadoba Lake,Local Mess Point,170,Low
209,104,33,Chandrapur,Moharli Gate,Gate Side Snacks,120,low
210,104,33,Chandrapur,Moharli Gate,Forest Edge Diner,450,mid
303,104,33,Chandrapur,Moharli Gate,Peak Point Café,480,High
304,104,33,Chandrapur,Moharli Gate,Trekker’s Energy Meals,240,Mid
211,105,33,Chandrapur,Kolara Gate,Reserve Entry Cafe,300,mid
212,105,33,Chandrapur,Kolara Gate,Tiger Trail Restaurant,650,high
305,105,33,Chandrapur,Kolara Gate,Coastal Curry House,360,High
306,105,33,Chandrapur,Kolara Gate,Fish Fry Express,300,Mid
213,106,34,Tadoba,Tadoba Core Zone,Core Zone Canteen,250,low
214,106,34,Tadoba,Tadoba Core Zone,Safari Lodge Dining,600,high
307,106,34,Tadoba,Tadoba Core Zone,Village Taste Bhojanalay,190,Low
308,106,34,Tadoba,Tadoba Core Zone,Traditional Thali Center,230,Mid
215,107,34,Tadoba,Agarzari Buffer,Buffer Zone Tea Stall,90,low
216,107,34,Tadoba,Agarzari Buffer,Forest Camp Cafe,350,mid
309,107,34,Tadoba,Agarzari Buffer,Scenic Route Café,420,High
310,107,34,Tadoba,Agarzari Buffer,Highway Snacks Stop,140,Low
217,108,34,Tadoba,Panchdhara Viewpoint,Panchdhara Snacks,150,low
218,108,34,Tadoba,Panchdhara Viewpoint,Viewpoint Cafe,400,mid
311,108,34,Tadoba,Panchdhara Viewpoint,Backpacker’s Food Hub,260,Mid
312,108,34,Tadoba,Panchdhara Viewpoint,Homestyle Kitchen,210,Low
219,109,35,Melghat,Chikhaldara Lake,Hill Lake Snacks,120,low
220,109,35,Melghat,Chikhaldara Lake,Calm Waters Cafe,350,mid
313,109,35,Melghat,Chikhaldara Lake,Market Street Chaat,90,Low
314,109,35,Melghat,Chikhaldara Lake,Urban Spice Restaurant,340,Mid
221,110,35,Melghat,Gawilgarh Fort,Fort Base Tea Stall,100,low
222,110,35,Melghat,Gawilgarh Fort,Heritage Hill Cafe,400,mid
315,110,35,Melghat,Gawilgarh Fort,Fort Edge Café,390,High
316,110,35,Melghat,Gawilgarh Fort,Local Breakfast Stall,80,Low
223,111,35,Melghat,Panchbol Point,Echo Point Snack Stall,120,low
224,111,35,Melghat,Panchbol Point,Panchbol Cafe,350,mid
317,111,35,Melghat,Panchbol Point,Mountain View Restaurant,450,High
318,111,35,Melghat,Panchbol Point,Simple Veg Corner,160,Low
225,112,36,Solapur,Siddheshwar Temple,Temple Prasad Stall,180,low
226,112,36,Solapur,Siddheshwar Temple,City Temple Cafe,350,mid
319,112,36,Solapur,Siddheshwar Temple,River Bend Café,360,High
320,112,36,Solapur,Siddheshwar Temple,Fresh Catch Kitchen,320,Mid
227,113,36,Solapur,Great Indian Bustard Sanctuary,Bird Sanctuary Snacks,200,low
228,113,36,Solapur,Great Indian Bustard Sanctuary,Watcher’s Cafe,400,mid
321,113,36,Solapur,Great Indian Bustard Sanctuary,Forest Hut Café,400,High
322,113,36,Solapur,Great Indian Bustard Sanctuary,Tea & Pakora Point,70,Low
229,114,36,Solapur,Hipparga Lake,Lake View Snacks,150,low
230,114,36,Solapur,Hipparga Lake,Waterfront Diner,450,mid
323,114,36,Solapur,Hipparga Lake,Old Town Bhojanalay,210,Low
324,114,36,Solapur,Hipparga Lake,Spice Junction,290,Mid
231,115,37,Akkalkot,Akkalkot Temple,Pilgrim Bhojanalay,180,low
232,115,37,Akkalkot,Akkalkot Temple,Temple Street Cafe,300,mid
325,115,37,Akkalkot,Akkalkot Temple,Sunlit Garden Café,430,High
326,115,37,Akkalkot,Akkalkot Temple,Local Snack Bar,110,Low
233,116,37,Akkalkot,Swami Samarth Math,Math Canteen,200,low
234,116,37,Akkalkot,Swami Samarth Math,Spiritual Cafe,350,mid
327,116,37,Akkalkot,Swami Samarth Math,Cliffside Restaurant,480,High
328,116,37,Akkalkot,Swami Samarth Math,Trekker’s Fuel Stop,260,Mid
235,117,37,Akkalkot,Narayanpur Dam,Dam View Tea Stall,100,low
236,117,37,Akkalkot,Narayanpur Dam,Reservoir Cafe,380,mid
329,117,37,Akkalkot,Narayanpur Dam,Harbor View Seafood,520,High
330,117,37,Akkalkot,Narayanpur Dam,Seafood Fry Stall,280,Mid
237,118,38,Osmanabad,Tulja Bhavani Temple,Temple Prasad Hall,200,low
238,118,38,Osmanabad,Tulja Bhavani Temple,Devotional Dining,350,mid
331,118,38,Osmanabad,Tulja Bhavani Temple,Heritage Street Food,130,Low
332,118,38,Osmanabad,Tulja Bhavani Temple,Classic Maharashtrian Mess,200,Low
239,119,38,Osmanabad,Gomukh Tirth,Gomukh Snack Point,120,low
240,119,38,Osmanabad,Gomukh Tirth,Sacred Spring Cafe,300,mid
333,119,38,Osmanabad,Gomukh Tirth,Valley Breeze Café,410,High
334,119,38,Osmanabad,Gomukh Tirth,Family Food Plaza,300,Mid
241,120,38,Osmanabad,Tuljapur Fort,Fort Entry Tea Stall,90,low
242,120,38,Osmanabad,Tuljapur Fort,Historic View Cafe,350,mid
335,120,38,Osmanabad,Tuljapur Fort,Sunrise Café,350,High
336,120,38,Osmanabad,Tuljapur Fort,Morning Poha Center,90,Low
243,121,39,Tuljapur,Tuljapur Ghat,Ghat Road Snacks,120,low
244,121,39,Tuljapur,Tuljapur Ghat,Scenic Route Cafe,350,mid
337,121,39,Tuljapur,Tuljapur Ghat,Lake Edge Restaurant,420,High
338,121,39,Tuljapur,Tuljapur Ghat,Quick Lunch Counter,150,Low
245,122,39,Tuljapur,Ramling Temple,Temple Lane Bhojanalay,200,low
246,122,39,Tuljapur,Ramling Temple,Traditional Veg Cafe,300,mid
339,122,39,Tuljapur,Ramling Temple,Forest Retreat Café,460,High
340,122,39,Tuljapur,Ramling Temple,Local Meals Point,180,Low
247,123,39,Tuljapur,Yedshi Ramling,Temple Complex Snacks,150,low
248,123,39,Tuljapur,Yedshi Ramling,Pilgrim Cafe,350,mid
341,123,39,Tuljapur,Yedshi Ramling,Ridge Top Restaurant,480,High
342,123,39,Tuljapur,Yedshi Ramling,Simple Thali House,220,Mid
249,124,40,Beed,Beed Fort,Fort Base Snacks,120,low
250,124,40,Beed,Beed Fort,Heritage Rest Stop,400,mid
343,124,40,Beed,Beed Fort,Temple Road Snacks,100,Low
344,124,40,Beed,Beed Fort,Pure Veg Bhojanalay,200,Low
345,125,40,Beed,Masjid-e-Hamidia,Backwater Breeze Café,430,High
346,125,40,Beed,Masjid-e-Hamidia,Konkan Veg Kitchen,260,Mid
347,126,40,Beed,Kapil Dhara,Old Fort Restaurant,380,High
348,126,40,Beed,Kapil Dhara,Traveler’s Meal Stop,240,Mid
349,127,41,Jalgaon,Ajanta Viewpoint,Sunset Garden Dining,450,High
350,127,41,Jalgaon,Ajanta Viewpoint,Chaat & Juice Center,120,Low
351,128,41,Jalgaon,Mehrun Lake,Hill Base Restaurant,320,Mid
352,128,41,Jalgaon,Mehrun Lake,Tea & Bun Maska Stall,70,Low
353,129,41,Jalgaon,Gandhi Research Foundation,Scenic Lake Café,400,High
354,129,41,Jalgaon,Gandhi Research Foundation,Local Rice Plate House,190,Low
355,130,42,Dhule,Laling Fort,Peak Point Dining,480,High
356,130,42,Dhule,Laling Fort,Energy Snack Bar,140,Low
357,131,42,Dhule,Songir Fort,Coastal Crown Restaurant,520,High
358,131,42,Dhule,Songir Fort,Seafood Express Stall,300,Mid
359,132,42,Dhule,Bhamer Fort,Temple View Bhojanalay,210,Low
360,132,42,Dhule,Bhamer Fort,Quick Veg Bites,120,Low
361,133,43,Nanded,Hazur Sahib,Forest View Dining,420,High
362,133,43,Nanded,Hazur Sahib,Simple Lunch Home,180,Low
363,134,43,Nanded,Godavari Ghat,Heritage Courtyard Café,460,High
364,134,43,Nanded,Godavari Ghat,Local Breakfast Hub,100,Low
365,135,43,Nanded,Kaleshwar Temple,Riverside Fine Dine,550,High
366,135,43,Nanded,Kaleshwar Temple,Family Fish Thali House,320,Mid
367,136,44,Parbhani,Turabul Haq Dargah,Mountain Mist Café,430,High
368,136,44,Parbhani,Turabul Haq Dargah,Hot Chai & Snacks,80,Low
369,137,44,Parbhani,Jintur Gate,Old Market Bhojanalay,200,Low
