travel_id,place_id,place_name,source_city,travel_mode,approx_cost,approx_duration_hours,cost_per_hour,cost_category
105,1,Mahabaleshwar,Dhule,Bike,1892,10.32,183.33,Economy
106,1,Mahabaleshwar,Nanded,Bus,932,7.73,120.57,Budget
107,1,Mahabaleshwar,Nanded,Train,1664,4.09,406.85,Economy
108,1,Mahabaleshwar,Nanded,Flight,3612,1.93,1871.5,Standard
109,1,Mahabaleshwar,Nanded,Own_Car,3960,5.31,745.76,Standard
110,1,Mahabaleshwar,Nanded,Bike,1841,6.47,284.54,Economy
111,1,Mahabaleshwar,Parbhani,Bus,448,4.62,96.97,Budget
112,1,Mahabaleshwar,Parbhani,Train,1126,10.14,111.05,Economy
113,1,Mahabaleshwar,Parbhani,Flight,5199,1.56,3332.69,Premium
114,1,Mahabaleshwar,Parbhani,Own_Car,3869,8.59,450.41,Standard
115,1,Mahabaleshwar,Parbhani,Bike,1694,10.38,163.2,Economy
116,1,Mahabaleshwar,Akola,Bus,1307,5.89,221.9,Economy
117,1,Mahabaleshwar,Akola,Train,528,4.76,110.92,Budget
118,1,Mahabaleshwar,Akola,Flight,2967,1.23,2412.2,Economy
119,1,Mahabaleshwar,Akola,Own_Car,3034,5.67,535.1,Standard
120,1,Mahabaleshwar,Akola,Bike,1969,9.38,209.91,Economy
121,1,Mahabaleshwar,Buldhana,Bus,723,4.01,180.3,Budget
122,1,Mahabaleshwar,Buldhana,Train,1376,3.85,357.4,Economy
123,1,Mahabaleshwar,Buldhana,Flight,2630,2.7,974.07,Economy
124,1,Mahabaleshwar,Buldhana,Own_Car,2241,4.38,511.64,Economy
125,1,Mahabaleshwar,Buldhana,Bike,1928,9.5,202.95,Economy
126,1,Mahabaleshwar,Yavatmal,Bus,614,4.41,139.23,Budget
127,1,Mahabaleshwar,Yavatmal,Train,1069,8.29,128.95,Economy
128,1,Mahabaleshwar,Yavatmal,Flight,2869,1.57,1827.39,Economy
129,1,Mahabaleshwar,Yavatmal,Own_Car,3644,8.07,451.55,Standard
130,1,Mahabaleshwar,Yavatmal,Bike,1233,5.46,225.82,Economy
131,1,Mahabaleshwar,Wardha,Bus,1531,7.25,211.17,Economy
132,1,Mahabaleshwar,Wardha,Train,987,4.71,209.55,Budget
133,1,Mahabaleshwar,Wardha,Flight,5965,2.13,2800.47,Premium
134,1,Mahabaleshwar,Wardha,Own_Car,3786,8.51,444.89,Standard
135,1,Mahabaleshwar,Wardha,Bike,1801,11.1,162.25,Economy
136,1,Mahabaleshwar,Chandrapur,Bus,528,8.43,62.63,Budget
137,1,Mahabaleshwar,Chandrapur,Train,1649,6.57,250.99,Economy
138,1,Mahabaleshwar,Chandrapur,Flight,6765,1.03,6567.96,Premium
139,1,Mahabaleshwar,Chandrapur,Own_Car,3602,5.14,700.78,Standard
140,1,Mahabaleshwar,Chandrapur,Bike,1482,5.59,265.12,Economy
141,1,Mahabaleshwar,Gondia,Bus,734,4.55,161.32,Budget
142,1,Mahabaleshwar,Gondia,Train,872,7.23,120.61,Budget
143,1,Mahabaleshwar,Gondia,Flight,2527,2.98,847.99,Economy
144,1,Mahabaleshwar,Gondia,Own_Car,4389,6.29,697.77,Standard
145,1,Mahabaleshwar,Gondia,Bike,1576,10.83,145.52,Economy
146,1,Mahabaleshwar,Bhandara,Bus,1284,9.88,129.96,Economy
147,1,Mahabaleshwar,Bhandara,Train,371,3.75,98.93,Budget
148,1,Mahabaleshwar,Bhandara,Flight,6758,2.34,2888.03,Premium
149,1,Mahabaleshwar,Bhandara,Own_Car,4200,6.53,643.19,Standard
150,1,Mahabaleshwar,Bhandara,Bike,1359,5.42,250.74,Economy
151,1,Mahabaleshwar,Raigad,Bus,726,7.08,102.54,Budget
152,1,Mahabaleshwar,Raigad,Train,346,5.09,67.98,Budget
153,1,Mahabaleshwar,Raigad,Flight,4588,1.99,2305.53,Standard
154,1,Mahabaleshwar,Raigad,Own_Car,3888,7.01,554.64,Standard
155,1,Mahabaleshwar,Raigad,Bike,1217,5.42,224.54,Economy
156,1,Mahabaleshwar,Palghar,Bus,817,5.37,152.14,Budget
157,1,Mahabaleshwar,Palghar,Train,1823,8.58,212.47,Economy
158,1,Mahabaleshwar,Palghar,Flight,4514,1.46,3091.78,Standard
159,1,Mahabaleshwar,Palghar,Own_Car,2455,6.41,383.0,Economy
160,1,Mahabaleshwar,Palghar,Bike,1441,5.71,252.36,Economy
161,1,Mahabaleshwar,Vasai,Bus,1238,8.3,149.16,Economy
162,1,Mahabaleshwar,Vasai,Train,1579,7.98,197.87,Economy
163,1,Mahabaleshwar,Vasai,Flight,4649,1.19,3906.72,Standard
164,1,Mahabaleshwar,Vasai,Own_Car,3807,3.87,983.72,Standard
165,1,Mahabaleshwar,Vasai,Bike,1583,8.25,191.88,Economy
166,1,Mahabaleshwar,Virar,Bus,556,5.91,94.08,Budget
167,1,Mahabaleshwar,Virar,Train,1471,7.26,202.62,Economy
168,1,Mahabaleshwar,Virar,Flight,5063,2.97,1704.71,Premium
169,1,Mahabaleshwar,Virar,Own_Car,4430,9.72,455.76,Standard
170,1,Mahabaleshwar,Virar,Bike,1145,7.22,158.59,Economy
171,1,Mahabaleshwar,Panvel,Bus,529,7.67,68.97,Budget
172,1,Mahabaleshwar,Panvel,Train,788,9.05,87.07,Budget
173,1,Mahabaleshwar,Panvel,Flight,4649,1.34,3469.4,Standard
174,1,Mahabaleshwar,Panvel,Own_Car,2679,6.44,415.99,Economy
175,1,Mahabaleshwar,Panvel,Bike,590,8.14,72.48,Budget
176,1,Mahabaleshwar,Alibaug,Bus,668,6.23,107.22,Budget
177,1,Mahabaleshwar,Alibaug,Train,1007,8.03,125.4,Economy
178,1,Mahabaleshwar,Alibaug,Flight,2532,2.45,1033.47,Economy
179,1,Mahabaleshwar,Alibaug,Own_Car,2854,3.63,786.23,Economy
180,1,Mahabaleshwar,Alibaug,Bike,1639,6.08,269.57,Economy
181,1,Mahabaleshwar,Shrirampur,Bus,1550,7.18,215.88,Economy
182,1,Mahabaleshwar,Shrirampur,Train,598,7.7,77.66,Budget
183,1,Mahabaleshwar,Shrirampur,Flight,2822,1.32,2137.88,Economy
184,1,Mahabaleshwar,Shrirampur,Own_Car,3702,8.38,441.77,Standard
185,1,Mahabaleshwar,Shrirampur,Bike,1903,7.37,258.21,Economy
186,1,Mahabaleshwar,Ahmednagar,Bus,1276,4.14,308.21,Economy
187,1,Mahabaleshwar,Ahmednagar,Train,1666,9.73,171.22,Economy
188,1,Mahabaleshwar,Ahmednagar,Flight,5921,1.46,4055.48,Premium
189,1,Mahabaleshwar,Ahmednagar,Own_Car,3725,7.11,523.91,Standard
190,1,Mahabaleshwar,Ahmednagar,Bike,1005,5.54,181.41,Economy
191,1,Mahabaleshwar,Baramati,Bus,1546,4.81,321.41,Economy
192,1,Mahabaleshwar,Baramati,Train,1516,5.5,275.64,Economy
193,1,Mahabaleshwar,Baramati,Flight,2573,2.41,1067.63,Economy
194,1,Mahabaleshwar,Baramati,Own_Car,3802,6.47,587.64,Standard
195,1,Mahabaleshwar,Baramati,Bike,620,5.63,110.12,Budget
196,1,Mahabaleshwar,Karad,Bus,951,4.35,218.62,Budget
197,1,Mahabaleshwar,Karad,Train,1343,7.63,176.02,Economy
198,1,Mahabaleshwar,Karad,Flight,4657,1.95,2388.21,Standard
199,1,Mahabaleshwar,Karad,Own_Car,2325,4.07,571.25,Economy
200,1,Mahabaleshwar,Karad,Bike,533,11.71,45.52,Budget
201,1,Mahabaleshwar,Miraj,Bus,892,6.99,127.61,Budget
202,1,Mahabaleshwar,Miraj,Train,1492,10.48,142.37,Economy
203,1,Mahabaleshwar,Miraj,Flight,3815,2.28,1673.25,Standard
204,1,Mahabaleshwar,Miraj,Own_Car,4322,6.97,620.09,Standard
205,1,Mahabaleshwar,Miraj,Bike,610,8.18,74.57,Budget
206,1,Mahabaleshwar,Ichalkaranji,Bus,1303,4.55,286.37,Economy
207,1,Mahabaleshwar,Ichalkaranji,Train,1805,10.23,176.44,Economy
208,1,Mahabaleshwar,Ichalkaranji,Flight,3097,1.56,1985.26,Standard
209,1,Mahabaleshwar,Ichalkaranji,Own_Car,1700,4.7,361.7,Economy
210,1,Mahabaleshwar,Ichalkaranji,Bike,1203,7.75,155.23,Economy
211,1,Mahabaleshwar,Hingoli,Bus,735,8.92,82.4,Budget
212,1,Mahabaleshwar,Hingoli,Train,320,8.44,37.91,Budget
213,1,Mahabaleshwar,Hingoli,Flight,6162,3.02,2040.4,Premium
214,1,Mahabaleshwar,Hingoli,Own_Car,4562,3.57,1277.87,Standard
215,1,Mahabaleshwar,Hingoli,Bike,591,8.38,70.53,Budget
216,1,Mahabaleshwar,Washim,Bus,1570,9.19,170.84,Economy
217,1,Mahabaleshwar,Washim,Train,1881,5.31,354.24,Economy
218,1,Mahabaleshwar,Washim,Flight,4765,1.91,2494.76,Standard
219,1,Mahabaleshwar,Washim,Own_Car,4684,7.63,613.89,Standard
220,1,Mahabaleshwar,Washim,Bike,927,8.38,110.62,Budget
221,1,Mahabaleshwar,Malegaon,Bus,1368,4.38,312.33,Economy
222,1,Mahabaleshwar,Malegaon,Train,655,9.73,67.32,Budget
223,1,Mahabaleshwar,Malegaon,Flight,3643,1.53,2381.05,Standard
224,1,Mahabaleshwar,Malegaon,Own_Car,2155,8.29,259.95,Economy
225,1,Mahabaleshwar,Malegaon,Bike,1663,6.2,268.23,Economy
226,1,Mahabaleshwar,Bhusawal,Bus,1574,7.03,223.9,Economy
227,1,Mahabaleshwar,Bhusawal,Train,1500,10.33,145.21,Economy
228,1,Mahabaleshwar,Bhusawal,Flight,4130,3.3,1251.52,Standard
229,1,Mahabaleshwar,Bhusawal,Own_Car,4403,6.18,712.46,Standard
230,1,Mahabaleshwar,Bhusawal,Bike,655,7.89,83.02,Budget
231,1,Mahabaleshwar,Chalisgaon,Bus,1340,7.41,180.84,Economy
232,1,Mahabaleshwar,Chalisgaon,Train,1327,8.84,150.11,Economy
233,1,Mahabaleshwar,Chalisgaon,Flight,6937,1.27,5462.2,Premium
234,1,Mahabaleshwar,Chalisgaon,Own_Car,3714,5.4,687.78,Standard
235,1,Mahabaleshwar,Chalisgaon,Bike,1108,7.8,142.05,Economy
236,1,Mahabaleshwar,Pandharpur,Bus,977,4.47,218.57,Budget
237,1,Mahabaleshwar,Pandharpur,Train,1848,8.08,228.71,Economy
238,1,Mahabaleshwar,Pandharpur,Flight,4556,1.69,2695.86,Standard
239,1,Mahabaleshwar,Pandharpur,Own_Car,2165,9.07,238.7,Economy
240,1,Mahabaleshwar,Pandharpur,Bike,866,7.87,110.04,Budget
241,1,Mahabaleshwar,Udgir,Bus,1495,8.17,182.99,Economy
242,1,Mahabaleshwar,Udgir,Train,1998,4.08,489.71,Economy
243,1,Mahabaleshwar,Udgir,Flight,4086,2.87,1423.69,Standard
244,1,Mahabaleshwar,Udgir,Own_Car,3239,6.56,493.75,Standard
245,1,Mahabaleshwar,Udgir,Bike,1770,9.03,196.01,Economy
246,1,Mahabaleshwar,Sangamner,Bus,411,5.5,74.73,Budget
247,1,Mahabaleshwar,Sangamner,Train,1246,5.74,217.07,Economy
248,1,Mahabaleshwar,Sangamner,Flight,3947,3.08,1281.49,Standard
249,1,Mahabaleshwar,Sangamner,Own_Car,2417,7.03,343.81,Economy
250,1,Mahabaleshwar,Sangamner,Bike,977,9.76,100.1,Budget
251,2,Lonavala,Mumbai,Bus,1010,7.18,140.67,Economy
252,2,Lonavala,Mumbai,Train,1403,6.96,201.58,Economy
253,2,Lonavala,Mumbai,Flight,3106,1.38,2250.72,Standard
254,2,Lonavala,Mumbai,Own_Car,2163,5.9,366.61,Economy
255,2,Lonavala,Mumbai,Bike,710,10.49,67.68,Budget
256,2,Lonavala,Pune,Bus,552,8.53,64.71,Budget
257,2,Lonavala,Pune,Train,523,3.86,135.49,Budget
258,2,Lonavala,Pune,Flight,5700,2.89,1972.32,Premium
259,2,Lonavala,Pune,Own_Car,1791,4.47,400.67,Economy
260,2,Lonavala,Pune,Bike,1539,9.54,161.32,Economy
261,2,Lonavala,Nagpur,Bus,1277,8.44,151.3,Economy
262,2,Lonavala,Nagpur,Train,1043,5.67,183.95,Economy
263,2,Lonavala,Nagpur,Flight,5686,2.5,2274.4,Premium
264,2,Lonavala,Nagpur,Own_Car,1917,5.55,345.41,Economy
265,2,Lonavala,Nagpur,Bike,817,11.41,71.6,Budget
266,2,Lonavala,Nashik,Bus,1468,4.01,366.08,Economy
267,2,Lonavala,Nashik,Train,386,8.41,45.9,Budget
268,2,Lonavala,Nashik,Flight,2944,2.97,991.25,Economy
269,2,Lonavala,Nashik,Own_Car,2396,6.12,391.5,Economy
270,2,Lonavala,Nashik,Bike,943,7.17,131.52,Budget
271,2,Lonavala,Aurangabad,Bus,448,8.74,51.26,Budget
272,2,Lonavala,Aurangabad,Train,1769,8.56,206.66,Economy
273,2,Lonavala,Aurangabad,Flight,3686,3.44,1071.51,Standard
274,2,Lonavala,Aurangabad,Own_Car,4962,7.7,644.42,Standard
275,2,Lonavala,Aurangabad,Bike,883,11.23,78.63,Budget
276,2,Lonavala,Thane,Bus,1330,9.35,142.25,Economy
277,2,Lonavala,Thane,Train,573,6.22,92.12,Budget
278,2,Lonavala,Thane,Flight,4285,1.15,3726.09,Standard
279,2,Lonavala,Thane,Own_Car,4741,7.52,630.45,Standard
280,2,Lonavala,Thane,Bike,1747,10.76,162.36,Economy
281,2,Lonavala,Navi Mumbai,Bus,1171,7.07,165.63,Economy
282,2,Lonavala,Navi Mumbai,Train,991,9.51,104.21,Budget
283,2,Lonavala,Navi Mumbai,Flight,3114,2.21,1409.05,Standard
284,2,Lonavala,Navi Mumbai,Own_Car,3635,8.9,408.43,Standard
285,2,Lonavala,Navi Mumbai,Bike,1528,6.05,252.56,Economy
286,2,Lonavala,Kalyan,Bus,969,6.04,160.43,Budget
287,2,Lonavala,Kalyan,Train,740,9.48,78.06,Budget
288,2,Lonavala,Kalyan,Flight,4559,2.56,1780.86,Standard
289,2,Lonavala,Kalyan,Own_Car,2575,7.92,325.13,Economy
290,2,Lonavala,Kalyan,Bike,1108,6.1,181.64,Economy
291,2,Lonavala,Dombivli,Bus,1329,4.05,328.15,Economy
292,2,Lonavala,Dombivli,Train,633,6.35,99.69,Budget
293,2,Lonavala,Dombivli,Flight,6971,2.96,2355.07,Premium
294,2,Lonavala,Dombivli,Own_Car,4770,7.79,612.32,Standard
295,2,Lonavala,Dombivli,Bike,1881,5.98,314.55,Economy
296,2,Lonavala,Amravati,Bus,1063,6.06,175.41,Economy
297,2,Lonavala,Amravati,Train,955,4.47,213.65,Budget
298,2,Lonavala,Amravati,Flight,2965,1.9,1560.53,Economy
299,2,Lonavala,Amravati,Own_Car,1779,3.54,502.54,Economy
300,2,Lonavala,Amravati,Bike,1389,6.94,200.14,Economy
301,2,Lonavala,Kolhapur,Bus,608,6.77,89.81,Budget
302,2,Lonavala,Kolhapur,Train,1247,5.64,221.1,Economy
303,2,Lonavala,Kolhapur,Flight,5281,3.49,1513.18,Premium
304,2,Lonavala,Kolhapur,Own_Car,3879,7.25,535.03,Standard
305,2,Lonavala,Kolhapur,Bike,819,7.73,105.95,Budget
306,2,Lonavala,Solapur,Bus,979,9.05,108.18,Budget
307,2,Lonavala,Solapur,Train,670,5.33,125.7,Budget
308,2,Lonavala,Solapur,Flight,6534,1.83,3570.49,Premium
309,2,Lonavala,Solapur,Own_Car,1702,8.38,203.1,Economy
310,2,Lonavala,Solapur,Bike,727,5.25,138.48,Budget
311,2,Lonavala,Sangli,Bus,1458,4.32,337.5,Economy
312,2,Lonavala,Sangli,Train,1240,5.37,230.91,Economy
313,2,Lonavala,Sangli,Flight,6559,3.44,1906.69,Premium
314,2,Lonavala,Sangli,Own_Car,3137,5.32,589.66,Standard
315,2,Lonavala,Sangli,Bike,1180,9.13,129.24,Economy
316,2,Lonavala,Satara,Bus,1081,8.14,132.8,Economy
317,2,Lonavala,Satara,Train,1710,6.68,255.99,Economy
318,2,Lonavala,Satara,Flight,2910,1.16,2508.62,Economy
319,2,Lonavala,Satara,Own_Car,3289,4.31,763.11,Standard
320,2,Lonavala,Satara,Bike,661,9.7,68.14,Budget
321,2,Lonavala,Ratnagiri,Bus,956,5.81,164.54,Budget
322,2,Lonavala,Ratnagiri,Train,518,6.26,82.75,Budget
323,2,Lonavala,Ratnagiri,Flight,4401,1.94,2268.56,Standard
324,2,Lonavala,Ratnagiri,Own_Car,1987,9.71,204.63,Economy
325,2,Lonavala,Ratnagiri,Bike,1576,11.96,131.77,Economy
326,2,Lonavala,Sindhudurg,Bus,1197,7.03,170.27,Economy
327,2,Lonavala,Sindhudurg,Train,686,8.92,76.91,Budget
328,2,Lonavala,Sindhudurg,Flight,2918,2.28,1279.82,Economy
329,2,Lonavala,Sindhudurg,Own_Car,3580,7.73,463.13,Standard
330,2,Lonavala,Sindhudurg,Bike,917,5.18,177.03,Budget
331,2,Lonavala,Latur,Bus,637,8.81,72.3,Budget
332,2,Lonavala,Latur,Train,1093,5.2,210.19,Economy
333,2,Lonavala,Latur,Flight,6341,3.01,2106.64,Premium
334,2,Lonavala,Latur,Own_Car,4274,5.01,853.09,Standard
335,2,Lonavala,Latur,Bike,1347,8.85,152.2,Economy
336,2,Lonavala,Osmanabad,Bus,1152,4.03,285.86,Economy
337,2,Lonavala,Osmanabad,Train,1398,4.01,348.63,Economy
338,2,Lonavala,Osmanabad,Flight,6400,1.09,5871.56,Premium
339,2,Lonavala,Osmanabad,Own_Car,1701,5.39,315.58,Economy
340,2,Lonavala,Osmanabad,Bike,1012,6.1,165.9,Economy
341,2,Lonavala,Beed,Bus,1470,7.08,207.63,Economy
342,2,Lonavala,Beed,Train,1608,8.63,186.33,Economy
343,2,Lonavala,Beed,Flight,6442,2.04,3157.84,Premium
344,2,Lonavala,Beed,Own_Car,1707,9.65,176.89,Economy
345,2,Lonavala,Beed,Bike,666,5.42,122.88,Budget
346,2,Lonavala,Jalgaon,Bus,1399,7.99,175.09,Economy
347,2,Lonavala,Jalgaon,Train,1825,4.57,399.34,Economy
348,2,Lonavala,Jalgaon,Flight,3716,2.27,1637.0,Standard
349,2,Lonavala,Jalgaon,Own_Car,2021,5.43,372.19,Economy
350,2,Lonavala,Jalgaon,Bike,1443,8.02,179.93,Economy
351,2,Lonavala,Dhule,Bus,569,4.97,114.49,Budget
352,2,Lonavala,Dhule,Train,1368,9.82,139.31,Economy
353,2,Lonavala,Dhule,Flight,5248,2.48,2116.13,Premium
354,2,Lonavala,Dhule,Own_Car,4845,9.4,515.43,Standard
355,2,Lonavala,Dhule,Bike,1229,6.7,183.43,Economy
356,2,Lonavala,Nanded,Bus,1344,5.72,234.97,Economy
357,2,Lonavala,Nanded,Train,1050,6.32,166.14,Economy
358,2,Lonavala,Nanded,Flight,3861,2.77,1393.86,Standard
359,2,Lonavala,Nanded,Own_Car,2254,9.24,243.94,Economy
360,2,Lonavala,Nanded,Bike,1102,5.02,219.52,Economy
361,2,Lonavala,Parbhani,Bus,627,6.06,103.47,Budget
362,2,Lonavala,Parbhani,Train,1370,9.54,143.61,Economy
363,2,Lonavala,Parbhani,Flight,2955,2.41,1226.14,Economy
364,2,Lonavala,Parbhani,Own_Car,3209,5.34,600.94,Standard
365,2,Lonavala,Parbhani,Bike,1502,11.04,136.05,Economy
366,2,Lonavala,Akola,Bus,1409,5.25,268.38,Economy
367,2,Lonavala,Akola,Train,574,4.63,123.97,Budget
368,2,Lonavala,Akola,Flight,4767,1.26,3783.33,Standard
369,2,Lonavala,Akola,Own_Car,4973,6.9,720.72,Standard
